wall_up,wall_right,wall_down,wall_left,apple_up,apple_right,apple_down,apple_left,distance_x,distance_y,direction
256,256,256,256,1,0,0,0,-144,-56,1
244,244,268,268,1,0,0,0,-132,-44,1
232,232,280,280,1,0,0,0,-120,-32,1
220,220,292,292,1,0,0,0,-108,-20,1
208,208,304,304,1,0,0,0,-96,-8,1
196,196,316,316,0,1,0,0,-84,4,1
208,184,304,328,1,0,0,0,-72,-8,1
196,172,316,340,0,1,0,0,-60,4,1
208,160,304,352,1,0,0,0,-48,-8,1
196,148,316,364,0,1,0,0,-36,4,1
208,136,304,376,1,0,0,0,-24,-8,1
196,124,316,388,0,0,1,0,340,36,3
208,136,304,376,0,0,1,0,328,24,3
220,148,292,364,0,0,1,0,316,12,3
232,160,280,352,0,0,0,1,304,0,3
232,172,280,340,0,0,0,1,292,0,3
232,184,280,328,0,0,0,1,280,0,3
232,196,280,316,0,0,0,1,268,0,3
232,208,280,304,0,0,0,1,256,0,3
232,220,280,292,0,0,0,1,244,0,3
232,232,280,280,0,0,0,1,232,0,3
232,244,280,268,0,0,0,1,220,0,3
232,256,280,256,0,0,0,1,208,0,3
232,268,280,244,0,0,0,1,196,0,3
232,280,280,232,0,0,0,1,184,0,3
232,292,280,220,0,0,0,1,172,0,3
232,304,280,208,0,0,0,1,160,0,3
232,316,280,196,0,0,0,1,148,0,3
232,328,280,184,0,0,0,1,136,0,3
232,340,280,172,0,0,0,1,124,0,3
232,352,280,160,0,0,0,1,112,0,3
232,364,280,148,0,0,0,1,100,0,3
232,376,280,136,0,0,0,1,88,0,3
232,388,280,124,0,0,0,1,76,0,3
232,400,280,112,0,0,0,1,64,0,3
232,412,280,100,0,0,0,1,52,0,3
232,424,280,88,0,0,0,1,40,0,3
232,436,280,76,0,0,0,1,28,0,3
232,448,280,64,1,0,0,0,-248,-168,1
220,436,292,76,1,0,0,0,-236,-156,1
208,424,304,88,1,0,0,0,-224,-144,1
196,412,316,100,1,0,0,0,-212,-132,1
184,400,328,112,1,0,0,0,-200,-120,1
172,388,340,124,1,0,0,0,-188,-108,1
160,376,352,136,1,0,0,0,-176,-96,1
148,364,364,148,1,0,0,0,-164,-84,1
136,352,376,160,1,0,0,0,-152,-72,1
124,340,388,172,1,0,0,0,-140,-60,1
112,328,400,184,1,0,0,0,-128,-48,1
100,316,412,196,1,0,0,0,-116,-36,1
88,304,424,208,1,0,0,0,-104,-24,1
76,292,436,220,1,0,0,0,-92,-12,1
64,280,448,232,0,1,0,0,-80,0,1
64,268,448,244,0,1,0,0,-68,0,1
64,256,448,256,0,1,0,0,-56,0,1
64,244,448,268,0,1,0,0,-44,0,1
64,232,448,280,0,1,0,0,-32,0,1
64,220,448,292,0,1,0,0,-20,0,1
64,208,448,304,0,0,1,0,288,56,3
76,220,436,292,0,0,1,0,276,44,3
88,232,424,280,0,0,1,0,264,32,3
100,244,412,268,0,0,1,0,252,20,3
112,256,400,256,0,0,1,0,240,8,3
124,268,388,244,1,0,0,0,228,-4,3
112,280,400,232,0,0,1,0,216,8,3
124,292,388,220,1,0,0,0,204,-4,3
112,304,400,208,0,0,1,0,192,8,3
124,316,388,196,1,0,0,0,180,-4,3
112,328,400,184,0,0,1,0,168,8,3
124,340,388,172,1,0,0,0,156,-4,3
112,352,400,160,0,0,1,0,144,8,3
124,364,388,148,1,0,0,0,132,-4,3
112,376,400,136,0,0,1,0,120,8,3
124,388,388,124,1,0,0,0,108,-4,3
112,400,400,112,0,0,1,0,96,8,3
124,412,388,100,1,0,0,0,84,-4,3
112,424,400,88,0,0,1,0,72,8,3
124,436,388,76,1,0,0,0,60,-4,3
112,448,400,64,0,0,1,0,48,8,3
124,460,388,52,1,0,0,0,36,-4,3
112,472,400,40,0,0,1,0,24,8,3
124,484,388,28,0,1,0,0,-156,380,1
136,472,376,40,0,1,0,0,-144,368,1
148,460,364,52,0,1,0,0,-132,356,1
160,448,352,64,0,1,0,0,-120,344,1
172,436,340,76,0,1,0,0,-108,332,1
184,424,328,88,0,1,0,0,-96,320,1
196,412,316,100,0,1,0,0,-84,308,1
208,400,304,112,0,1,0,0,-72,296,1
220,388,292,124,0,1,0,0,-60,284,1
232,376,280,136,0,1,0,0,-48,272,1
244,364,268,148,0,1,0,0,-36,260,1
256,352,256,160,0,1,0,0,-24,248,1
268,340,244,172,0,1,0,0,-12,236,1
280,328,232,184,0,0,1,0,0,224,2
292,328,220,184,0,0,1,0,0,212,2
304,328,208,184,0,0,1,0,0,200,2
316,328,196,184,0,0,1,0,0,188,2
328,328,184,184,0,0,1,0,0,176,2
340,328,172,184,0,0,1,0,0,164,2
352,328,160,184,0,0,1,0,0,152,2
364,328,148,184,0,0,1,0,0,140,2
376,328,136,184,0,0,1,0,0,128,2
388,328,124,184,0,0,1,0,0,116,2
400,328,112,184,0,0,1,0,0,104,2
412,328,100,184,0,0,1,0,0,92,2
424,328,88,184,0,0,1,0,0,80,2
436,328,76,184,0,0,1,0,0,68,2
