wall_up,wall_right,wall_down,wall_left,apple_up,apple_right,apple_down,apple_left,distance_x,distance_y,direction
352,256,160,256,0,0,0,1,64,0,3
352,268,160,244,0,0,0,1,52,0,3
352,280,160,232,0,0,0,1,40,0,3
352,292,160,220,0,0,0,1,28,0,3
208,160,304,352,0,1,0,0,-80,0,1
208,148,304,364,0,1,0,0,-68,0,1
208,136,304,376,0,1,0,0,-56,0,1
208,124,304,388,0,1,0,0,-44,0,1
208,112,304,400,0,1,0,0,-32,0,1
208,100,304,412,0,1,0,0,-20,0,1
376,256,136,256,1,0,0,0,0,-328,0
364,256,148,256,1,0,0,0,0,-316,0
352,256,160,256,1,0,0,0,0,-304,0
340,256,172,256,1,0,0,0,0,-292,0
328,256,184,256,1,0,0,0,0,-280,0
316,256,196,256,1,0,0,0,0,-268,0
304,256,208,256,1,0,0,0,0,-256,0
292,256,220,256,1,0,0,0,0,-244,0
280,256,232,256,1,0,0,0,0,-232,0
268,256,244,256,1,0,0,0,0,-220,0
256,256,256,256,1,0,0,0,0,-208,0
244,256,268,256,1,0,0,0,0,-196,0
232,256,280,256,1,0,0,0,0,-184,0
220,256,292,256,1,0,0,0,0,-172,0
208,256,304,256,1,0,0,0,0,-160,0
196,256,316,256,1,0,0,0,0,-148,0
184,256,328,256,1,0,0,0,0,-136,0
172,256,340,256,1,0,0,0,0,-124,0
160,256,352,256,1,0,0,0,0,-112,0
148,256,364,256,1,0,0,0,0,-100,0
136,256,376,256,1,0,0,0,0,-88,0
124,256,388,256,1,0,0,0,0,-76,0
112,256,400,256,1,0,0,0,0,-64,0
100,256,412,256,1,0,0,0,0,-52,0
88,256,424,256,1,0,0,0,0,-40,0
76,256,436,256,1,0,0,0,0,-28,0
232,448,280,64,0,1,0,0,-40,0,1
232,436,280,76,0,1,0,0,-28,0,1
184,112,328,400,1,0,0,0,0,-160,0
172,112,340,400,1,0,0,0,0,-148,0
160,112,352,400,1,0,0,0,0,-136,0
148,112,364,400,1,0,0,0,0,-124,0
136,112,376,400,1,0,0,0,0,-112,0
124,112,388,400,1,0,0,0,0,-100,0
112,112,400,400,1,0,0,0,0,-88,0
100,112,412,400,1,0,0,0,0,-76,0
88,112,424,400,1,0,0,0,0,-64,0
76,112,436,400,1,0,0,0,0,-52,0
64,112,448,400,1,0,0,0,0,-40,0
52,112,460,400,1,0,0,0,0,-28,0
208,232,304,280,0,1,0,0,-72,0,1
208,220,304,292,0,1,0,0,-60,0,1
208,208,304,304,0,1,0,0,-48,0,1
208,196,304,316,0,1,0,0,-36,0,1
208,184,304,328,0,1,0,0,-24,0,1
244,136,268,376,0,0,1,0,0,180,2
256,136,256,376,0,0,1,0,0,168,2
268,136,244,376,0,0,1,0,0,156,2
280,136,232,376,0,0,1,0,0,144,2
292,136,220,376,0,0,1,0,0,132,2
304,136,208,376,0,0,1,0,0,120,2
316,136,196,376,0,0,1,0,0,108,2
328,136,184,376,0,0,1,0,0,96,2
340,136,172,376,0,0,1,0,0,84,2
352,136,160,376,0,0,1,0,0,72,2
364,136,148,376,0,0,1,0,0,60,2
376,136,136,376,0,0,1,0,0,48,2
388,136,124,376,0,0,1,0,0,36,2
400,136,112,376,0,0,1,0,0,24,2
328,316,184,196,0,1,0,0,-44,0,1
328,304,184,208,0,1,0,0,-32,0,1
328,292,184,220,0,1,0,0,-20,0,1
304,256,208,256,0,1,0,0,-88,0,1
304,244,208,268,0,1,0,0,-76,0,1
304,232,208,280,0,1,0,0,-64,0,1
304,220,208,292,0,1,0,0,-52,0,1
304,208,208,304,0,1,0,0,-40,0,1
304,196,208,316,0,1,0,0,-28,0,1
400,352,112,160,1,0,0,0,0,-128,0
388,352,124,160,1,0,0,0,0,-116,0
376,352,136,160,1,0,0,0,0,-104,0
364,352,148,160,1,0,0,0,0,-92,0
352,352,160,160,1,0,0,0,0,-80,0
340,352,172,160,1,0,0,0,0,-68,0
328,352,184,160,1,0,0,0,0,-56,0
316,352,196,160,1,0,0,0,0,-44,0
304,352,208,160,1,0,0,0,0,-32,0
292,352,220,160,1,0,0,0,0,-20,0
256,376,256,136,0,1,0,0,-224,0,1
256,364,256,148,0,1,0,0,-212,0,1
256,352,256,160,0,1,0,0,-200,0,1
256,340,256,172,0,1,0,0,-188,0,1
256,328,256,184,0,1,0,0,-176,0,1
256,316,256,196,0,1,0,0,-164,0,1
256,304,256,208,0,1,0,0,-152,0,1
256,292,256,220,0,1,0,0,-140,0,1
256,280,256,232,0,1,0,0,-128,0,1
256,268,256,244,0,1,0,0,-116,0,1
256,256,256,256,0,1,0,0,-104,0,1
256,244,256,268,0,1,0,0,-92,0,1
256,232,256,280,0,1,0,0,-80,0,1
256,220,256,292,0,1,0,0,-68,0,1
256,208,256,304,0,1,0,0,-56,0,1
256,196,256,316,0,1,0,0,-44,0,1
256,184,256,328,0,1,0,0,-32,0,1
256,172,256,340,0,1,0,0,-20,0,1
232,376,280,136,1,0,0,0,0,-64,0
220,376,292,136,1,0,0,0,0,-52,0
208,376,304,136,1,0,0,0,0,-40,0
196,376,316,136,1,0,0,0,0,-28,0
64,328,448,184,0,0,0,1,160,0,3
64,340,448,172,0,0,0,1,148,0,3
64,352,448,160,0,0,0,1,136,0,3
64,364,448,148,0,0,0,1,124,0,3
64,376,448,136,0,0,0,1,112,0,3
64,388,448,124,0,0,0,1,100,0,3
64,400,448,112,0,0,0,1,88,0,3
64,412,448,100,0,0,0,1,76,0,3
64,424,448,88,0,0,0,1,64,0,3
64,436,448,76,0,0,0,1,52,0,3
64,448,448,64,0,0,0,1,40,0,3
64,460,448,52,0,0,0,1,28,0,3
256,232,256,280,0,1,0,0,-32,0,1
256,220,256,292,0,1,0,0,-20,0,1
328,280,184,232,0,1,0,0,-168,0,1
328,268,184,244,0,1,0,0,-156,0,1
328,256,184,256,0,1,0,0,-144,0,1
328,244,184,268,0,1,0,0,-132,0,1
328,232,184,280,0,1,0,0,-120,0,1
328,220,184,292,0,1,0,0,-108,0,1
328,208,184,304,0,1,0,0,-96,0,1
328,196,184,316,0,1,0,0,-84,0,1
328,184,184,328,0,1,0,0,-72,0,1
328,172,184,340,0,1,0,0,-60,0,1
328,160,184,352,0,1,0,0,-48,0,1
328,148,184,364,0,1,0,0,-36,0,1
328,136,184,376,0,1,0,0,-24,0,1
148,304,364,208,1,0,0,0,0,-68,0
136,304,376,208,1,0,0,0,0,-56,0
124,304,388,208,1,0,0,0,0,-44,0
112,304,400,208,1,0,0,0,0,-32,0
100,304,412,208,1,0,0,0,0,-20,0
256,64,256,448,1,0,0,0,0,-24,0
364,376,148,136,1,0,0,0,0,-172,0
352,376,160,136,1,0,0,0,0,-160,0
340,376,172,136,1,0,0,0,0,-148,0
328,376,184,136,1,0,0,0,0,-136,0
316,376,196,136,1,0,0,0,0,-124,0
304,376,208,136,1,0,0,0,0,-112,0
292,376,220,136,1,0,0,0,0,-100,0
280,376,232,136,1,0,0,0,0,-88,0
268,376,244,136,1,0,0,0,0,-76,0
256,376,256,136,1,0,0,0,0,-64,0
244,376,268,136,1,0,0,0,0,-52,0
232,376,280,136,1,0,0,0,0,-40,0
220,376,292,136,1,0,0,0,0,-28,0
352,304,160,208,1,0,0,0,0,-120,0
340,304,172,208,1,0,0,0,0,-108,0
328,304,184,208,1,0,0,0,0,-96,0
316,304,196,208,1,0,0,0,0,-84,0
304,304,208,208,1,0,0,0,0,-72,0
